Query query_1 executed in 1.32 seconds
Query query_10 executed in 0.45 seconds
Query query_11 executed in 6.53 seconds
Query query_12 executed in 0.12 seconds
Query query_13 executed in 0.57 seconds
Query query_14 executed in 20.21 seconds
Query query_15 executed in 1.10 seconds
Query query_16 executed in 2.35 seconds
Query query_17 executed in 0.59 seconds
Query query_18 executed in 1.16 seconds
Query query_19 executed in 0.36 seconds
Query query_2 executed in 1.43 seconds
Query query_20 executed in 0.19 seconds
Query query_21 executed in 0.21 seconds
Query query_22 executed in 26.64 seconds
Query query_23 executed in 98.31 seconds
Query query_24 executed in 1.58 seconds
Query query_25 executed in 0.42 seconds
Query query_26 executed in 0.24 seconds
Query query_27 executed in 1.73 seconds
Query query_28 executed in 1.51 seconds
Query query_29 executed in 0.66 seconds
Query query_3 executed in 0.08 seconds
Query query_30 executed in 0.25 seconds
Query query_31 executed in 0.99 seconds
Query query_32 executed in 0.12 seconds
Query query_33 executed in 0.18 seconds
Query query_34 executed in 0.22 seconds
Query query_35 executed in 0.80 seconds
Query query_36 executed in 0.66 seconds
Query query_37 executed in 0.50 seconds
Query query_38 executed in 3.53 seconds
Query query_39 executed in 4.37 seconds
Query query_4 executed in 12.42 seconds
Query query_40 executed in 0.86 seconds
Query query_41 executed in 0.03 seconds
Query query_42 executed in 0.16 seconds
Query query_43 executed in 0.43 seconds
Query query_44 executed in 0.33 seconds
Query query_45 executed in 0.24 seconds
Query query_46 executed in 0.48 seconds
Query query_47 executed in 11.55 seconds
Query query_48 executed in 0.69 seconds
Query query_49 executed in 0.69 seconds
Query query_5 executed in 0.74 seconds
Query query_50 executed in 0.47 seconds
Query query_51 executed in 9.69 seconds
Query query_52 executed in 0.13 seconds
Query query_53 executed in 0.22 seconds
Query query_54 executed in 0.30 seconds
Query query_55 executed in 0.10 seconds
Query query_56 executed in 0.19 seconds
Query query_57 executed in 5.77 seconds
Query query_58 executed in 0.52 seconds
Query query_59 executed in 3.51 seconds
Query query_6 executed in 0.92 seconds
Query query_60 executed in 0.18 seconds
Query query_61 executed in 0.05 seconds
Query query_62 executed in 0.22 seconds
Query query_63 executed in 0.17 seconds
Query query_64 executed in 5.63 seconds
Query query_65 executed in 12.83 seconds
Query query_66 executed in 0.33 seconds
Query query_67 executed in 71.00 seconds
Query query_68 executed in 0.41 seconds
Query query_69 executed in 0.33 seconds
Query query_7 executed in 0.34 seconds
Query query_70 executed in 0.96 seconds
Query query_71 executed in 0.20 seconds
Query query_72 executed in 1.52 seconds
Query query_73 executed in 0.20 seconds
Query query_74 executed in 6.15 seconds
Query query_75 executed in 2.55 seconds
Query query_76 executed in 0.33 seconds
Query query_77 executed in 0.20 seconds
Query query_78 executed in 16.25 seconds
Query query_79 executed in 0.27 seconds
Query query_8 executed in 0.19 seconds
Query query_80 executed in 2.83 seconds
Query query_81 executed in 0.39 seconds
Query query_82 executed in 0.94 seconds
Query query_83 executed in 0.16 seconds
Query query_84 executed in 0.17 seconds
Query query_85 executed in 0.83 seconds
Query query_86 executed in 0.18 seconds
Query query_87 executed in 3.06 seconds
Query query_88 executed in 0.80 seconds
Query query_89 executed in 0.35 seconds
Query query_9 executed in 1.83 seconds
Query query_90 executed in 0.06 seconds
Query query_91 executed in 0.07 seconds
Query query_92 executed in 0.08 seconds
Query query_93 executed in 1.34 seconds
Query query_94 executed in 1.11 seconds
Query query_95 executed in 24.06 seconds
Query query_96 executed in 0.10 seconds
Query query_97 executed in 6.56 seconds
Query query_98 executed in 0.36 seconds
Query query_99 executed in 0.61 seconds
